City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6,-73.97,64.0,52,97,8.01,US,1598495246
naryan-mar,67.67,53.09,53.58,77,100,17.29,RU,1598495246
dhaulpur,26.7,77.9,83.95,72,97,8.39,IN,1598495246
hithadhoo,-0.6,73.08,83.12,71,65,8.86,MV,1598495246
rasht,37.28,49.58,64.4,100,3,2.59,IR,1598495247
bratsk,56.13,101.61,64.4,68,80,6.71,RU,1598495247
ushuaia,-54.8,-68.3,35.6,69,75,6.93,AR,1598495247
hobart,-42.88,147.33,59.0,50,75,17.22,AU,1598495179
atuona,-9.8,-139.03,78.04,75,27,18.81,PF,1598495248
kurud,20.83,81.72,75.2,100,75,12.75,IN,1598495248
cape town,-33.93,18.42,55.0,81,0,1.12,ZA,1598495097
mount isa,-20.73,139.5,80.6,11,89,10.29,AU,1598495248
capreol,46.71,-80.92,57.2,76,90,3.36,CA,1598495248
new norfolk,-42.78,147.06,59.0,73,100,7.0,AU,1598495249
chokurdakh,70.63,147.92,41.25,86,100,7.07,RU,1598495249
iqaluit,63.75,-68.51,42.8,93,20,2.24,CA,1598495249
yovon,38.31,69.04,68.0,93,20,2.24,TJ,1598495250
rikitea,-23.12,-134.97,68.56,58,2,4.63,PF,1598495250
mar del plata,-38.0,-57.56,59.0,87,90,13.87,AR,1598495250
cabo san lucas,22.89,-109.91,86.0,70,20,9.17,MX,1598495250
bredasdorp,-34.53,20.04,44.6,93,18,3.36,ZA,1598495251
saskylakh,71.92,114.08,66.2,38,0,6.2,RU,1598495251
luderitz,-26.65,15.16,53.94,79,0,8.37,NA,1598495251
hermanus,-34.42,19.23,51.62,80,0,14.92,ZA,1598495251
yellowknife,62.46,-114.35,55.4,100,75,4.7,CA,1598495252
kaitangata,-46.28,169.85,48.99,68,99,4.56,NZ,1598495252
qaanaaq,77.48,-69.36,37.22,88,100,15.08,GL,1598495252
camana,-16.62,-72.71,61.56,81,100,8.28,PE,1598495253
vilyuysk,63.76,121.62,61.11,37,0,2.28,RU,1598495253
along,28.17,94.77,82.02,70,10,0.51,IN,1598495253
manaus,-3.1,-60.02,82.4,74,11,1.12,BR,1598495253
moose factory,51.26,-80.61,46.4,75,1,4.7,CA,1598495254
mataura,-46.19,168.86,45.0,72,30,11.01,NZ,1598495254
bardiyah,31.76,25.09,75.79,87,0,13.69,LY,1598495254
codrington,-38.27,141.97,59.99,69,33,18.7,AU,1598495255
paita,-5.09,-81.11,62.04,80,88,13.38,PE,1598495255
los llanos de aridane,28.66,-17.92,75.2,94,0,10.29,ES,1598495255
tasiilaq,65.61,-37.64,32.0,80,0,6.93,GL,1598495255
pachino,36.72,15.09,71.01,78,3,5.57,IT,1598495255
georgetown,5.41,100.34,86.0,79,20,2.24,MY,1598495215
nagaur,27.2,73.73,80.4,79,0,13.04,IN,1598495256
talnakh,69.49,88.4,55.4,93,12,11.18,RU,1598495256
faya,18.39,42.45,69.8,68,83,3.36,SA,1598495256
east london,-33.02,27.91,59.88,70,94,19.04,ZA,1598495257
okakarara,-20.58,17.43,54.5,42,0,6.11,NA,1598495257
nurobod,40.91,69.8,62.6,82,9,4.7,UZ,1598495257
dikson,73.51,80.55,44.6,100,100,8.32,RU,1598495258
